skill_name,skill_path,max_severity,findings_count,rules_hit,severity_counts
browser,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/henriquemoreira-f-droid-factory-template-skills-browser-skill-md/content,CRITICAL,624,ARCHIVE_FILE_DETECTED; BINARY_FILE_DETECTED; COMMAND_INJECTION_EVAL; COMMAND_INJECTION_JS_CHILD_PROCESS; COMMAND_INJECTION_JS_FUNCTION_CONSTRUCTOR; DATA_EXFIL_JS_FS_ACCESS; DATA_EXFIL_JS_NETWORK; EXCESSIVE_FILE_COUNT; FILE_MAGIC_MISMATCH; HIDDEN_DATA_FILE; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE; SECRET_AWS_KEY; SECRET_JWT_TOKEN; SECRET_PASSWORD_VAR; UNANALYZABLE_BINARY; YARA_embedded_elf_binary; YARA_embedded_macho_binary; YARA_embedded_pe_executable; YARA_prompt_injection_unicode_steganography,"{""critical"": 272, ""high"": 63, ""info"": 43, ""low"": 110, ""medium"": 136}"
slack-reader,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/supercorks-agent-skills-slack-reader-skill-md/content,CRITICAL,141,COMMAND_INJECTION_EVAL; COMMAND_INJECTION_JS_CHILD_PROCESS; COMMAND_INJECTION_JS_FUNCTION_CONSTRUCTOR; DATA_EXFIL_JS_FS_ACCESS; DATA_EXFIL_JS_NETWORK; EXCESSIVE_FILE_COUNT; FILE_MAGIC_MISMATCH; HIDDEN_DATA_FILE; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE; SECRET_PASSWORD_VAR; YARA_autonomy_abuse_generic,"{""critical"": 47, ""high"": 33, ""info"": 1, ""low"": 13, ""medium"": 47}"
dev-graph-exports,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/rm2thaddeus-pixel-detective-skills-dev-graph-exports-skill-md/content,CRITICAL,10,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; DATA_EXFIL_JS_NETWORK; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE; TOOL_ABUSE_UNDECLARED_NETWORK,"{""critical"": 3, ""high"": 3, ""info"": 1, ""medium"": 3}"
writing-skills,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/bluefishs-ck-missive-claude-skills-shared-shared-superpowers-writing-skills-skill-md/content,CRITICAL,9,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""critical"": 3, ""high"": 4, ""info"": 1, ""medium"": 1}"
writing-skills,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/peparhugo-github-copilot-command-demo-github-skills-writing-skills-skill-md/content,CRITICAL,8,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; MANIFEST_MISSING_LICENSE,"{""critical"": 3, ""high"": 4, ""info"": 1}"
Jest Test Framework,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/fortiumpartners-ai-mesh-skills-jest-test-skill-md/content,CRITICAL,7,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; FILE_MAGIC_MISMATCH; LOW_ANALYZABILITY; MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE,"{""critical"": 2, ""high"": 2, ""info"": 2, ""medium"": 1}"
Blog Commenter,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/hekmon8-mybacklinks-tools-skills-blog-commenter-skill-skill-md/content,CRITICAL,6,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE,"{""critical"": 1, ""high"": 3, ""info"": 2}"
interface-analyzer,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/rsicarelli-fakt-claude-skills-interface-analyzer-skill-md/content,CRITICAL,5,COMPOUND_FIND_EXEC; MANIFEST_MISSING_LICENSE,"{""critical"": 4, ""info"": 1}"
malicious-skill,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/alonw0-skill-score-malicious-skill-skill-md/content,CRITICAL,4,MANIFEST_MISSING_LICENSE; PIPELINE_TAINT_FLOW; TOOL_ABUSE_SYSTEM_MODIFICATION; YARA_system_manipulation_generic,"{""critical"": 1, ""high"": 2, ""info"": 1}"
API Fuzzing for Bug Bounty,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/atilamedeiros-skills-api-fuzzing-bug-bounty-skill-md/content,CRITICAL,4,MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE; YARA_sql_injection_generic,"{""critical"": 2, ""info"": 2}"
bjtuo-classroom-query,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/hwj123hwj-custom-skills-bjtuo-classroom-query-skill-md/content,CRITICAL,3,COMMAND_INJECTION_EVAL; DATA_EXFIL_SENSITIVE_FILES; MANIFEST_MISSING_LICENSE,"{""critical"": 1, ""high"": 1, ""info"": 1}"
pdf-set,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/kyosakuyo-skills-pdf-set-skill-md/content,CRITICAL,3,MANIFEST_MISSING_LICENSE; PATH_TRAVERSAL_OPEN,"{""critical"": 2, ""info"": 1}"
skill-quality-validator,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/alongor666-chexianduoweifenxi-claude-skills-skill-quality-validator-skill-md/content,CRITICAL,2,COMMAND_INJECTION_EVAL; MANIFEST_MISSING_LICENSE,"{""critical"": 1, ""info"": 1}"
settings-configuration,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/laurigates-claude-plugins-health-plugin-skills-settings-configuration-skill-md/content,CRITICAL,2,MANIFEST_MISSING_LICENSE; YARA_command_injection_generic,"{""critical"": 1, ""info"": 1}"
proactive-messages,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-vmehmeri-proactive-messages-skill-md/content,CRITICAL,2,MANIFEST_MISSING_LICENSE; YARA_prompt_injection_generic,"{""critical"": 1, ""info"": 1}"
deepgram-webhooks-events,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/dicklesworthstone-pi-agent-rust-tests-ext-conformance-artifacts-plugins-community-plugins-saas-packs-deepgram-pack-skills-deepgram-webhooks-events-skill-md/content,CRITICAL,1,YARA_command_injection_generic,"{""critical"": 1}"
cardfeed,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/maxoreric-agentui-cardfeed-skill-skill-md/content,HIGH,9,DATA_EXFIL_JS_FS_ACCESS; DATA_EXFIL_JS_NETWORK; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 7, ""info"": 1, ""medium"": 1}"
fliz-ai-video-generator,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-jb-fliz-fliz-ai-video-generator-skill-md/content,HIGH,9,DATA_EXFIL_NETWORK_REQUESTS; MANIFEST_MISSING_LICENSE; RESOURCE_ABUSE_INFINITE_LOOP; TOOL_ABUSE_UNDECLARED_NETWORK,"{""high"": 2, ""info"": 1, ""medium"": 6}"
Omnistrate Solutions Architect,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/omnistrate-community-kubecon-2025-agent-template-claude-skills-omnistrate-sa-skill-md/content,HIGH,8,MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE; SECRET_CONNECTION_STRING,"{""high"": 6, ""info"": 2}"
researchvault,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-lraivisto-lraivisto-researchvault-skill-md/content,HIGH,8,DATA_EXFIL_NETWORK_REQUESTS; MANIFEST_MISSING_LICENSE; RESOURCE_ABUSE_INFINITE_LOOP; TOOL_ABUSE_UNDECLARED_NETWORK,"{""high"": 1, ""info"": 1, ""medium"": 6}"
system-prompt-architect,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/awakehsh-awesome-agent-tools-skills-system-prompt-architect-skill-md/content,HIGH,7,ARCHIVE_CONTAINS_EXECUTABLE; ARCHIVE_EXTRACTION_FAILED; ARCHIVE_FILE_DETECTED; MANIFEST_MISSING_LICENSE; UNANALYZABLE_BINARY,"{""high"": 1, ""info"": 1, ""medium"": 5}"
react-colocation,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/avayne2-skills-react-colocation-skill-md/content,HIGH,6,DATA_EXFIL_JS_FS_ACCESS; DATA_EXFIL_JS_NETWORK; LOW_ANALYZABILITY,"{""high"": 4, ""medium"": 2}"
fsd-es-lite,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/fyuuki0jp-sourcedoc-claude-skills-fsd-es-lite-skill-md/content,HIGH,5,DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 4, ""info"": 1}"
Cloud Penetration Testing,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/zebbern-secops-cli-guides-skills-cloud-penetration-testing-skill-md/content,HIGH,5,MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE; PIPELINE_TAINT_FLOW; YARA_capability_inflation_generic,"{""high"": 1, ""info"": 2, ""medium"": 2}"
literature-sweep,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/linxule-interpretive-orchestration-plugin-cowork-skills-literature-sweep-skill-md/content,HIGH,4,DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 3, ""info"": 1}"
clawdvine,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-imthatcarlos-clawdvine-skill-latest-skill-md/content,HIGH,4,DATA_EXFIL_JS_NETWORK; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1, ""medium"": 2}"
Confidence Check,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/arustydev-ai-context-context-legacy-skills-confidence-check-skill-md/content,HIGH,3,LOW_ANALYZABILITY; MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 2}"
documentation-manager-agent,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/asisaga-theme-asisaga-com-github-skills-documentation-manager-agent-skill-md/content,HIGH,3,ALLOWED_TOOLS_BASH_VIOLATION; ALLOWED_TOOLS_GREP_VIOLATION; COMPOUND_FIND_EXEC,"{""high"": 1, ""low"": 1, ""medium"": 1}"
voice-ai-engine-development,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/atilamedeiros-skills-voice-ai-engine-development-skill-md/content,HIGH,3,MANIFEST_MISSING_LICENSE; RESOURCE_ABUSE_INFINITE_LOOP,"{""high"": 2, ""info"": 1}"
converting-figma-to-html,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/farmanlab-ai-agent-orchestra-agents-skills-converting-figma-to-html-skill-md/content,HIGH,3,ALLOWED_TOOLS_BASH_VIOLATION; ALLOWED_TOOLS_GREP_VIOLATION; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1, ""low"": 1}"
artifacts-builder,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/minimax-ai-mini-agent-mini-agent-skills-artifacts-builder-skill-md/content,HIGH,3,ARCHIVE_FILE_DETECTED; LOW_ANALYZABILITY; UNANALYZABLE_BINARY,"{""high"": 1, ""medium"": 2}"
discord-watcher,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-louis-br-discord-watcher-skill-md/content,HIGH,3,COMPOUND_EXTRACT_EXECUTE; MANIFEST_MISSING_LICENSE,"{""high"": 2, ""info"": 1}"
bundle-checker,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-lxgicstudios-bundle-analyzer-skill-md/content,HIGH,3,DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1, ""medium"": 1}"
nginx-gen,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-lxgicstudios-nginx-config-gen-skill-md/content,HIGH,3,DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1, ""medium"": 1}"
video-transcript-downloader,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/steipete-agent-scripts-skills-video-transcript-downloader-skill-md/content,HIGH,3,DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1, ""medium"": 1}"
credentials,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/alsk1992-cloddsbot-src-skills-bundled-credentials-skill-md/content,HIGH,2,LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1}"
css-styling-expert,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/cin12211-orca-q-agent-skills-css-expert-skill-md/content,HIGH,2,MANIFEST_MISSING_LICENSE; YARA_system_manipulation_generic,"{""high"": 1, ""info"": 1}"
image-crop,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/davidyang013-tmd-agents-skills-image-crop-skill-md/content,HIGH,2,LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1}"
claude-reflect,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/dicklesworthstone-pi-agent-rust-tests-ext-conformance-artifacts-plugins-community-plugins-community-claude-reflect-skill-md/content,HIGH,2,ALLOWED_TOOLS_BASH_VIOLATION; ALLOWED_TOOLS_GREP_VIOLATION,"{""high"": 1, ""low"": 1}"
mlflow,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/fgarofalo56-suppercharge-microsoft-fabric-github-skills-mlflow-skill-md/content,HIGH,2,MANIFEST_MISSING_LICENSE; SECRET_CONNECTION_STRING,"{""high"": 1, ""info"": 1}"
metronic-module,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/harishafeez1-providr-react-claude-skills-metronic-module-skill-md/content,HIGH,2,LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1}"
react-testing-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/hieutrtr-ai1-skills-skills-react-testing-patterns-skill-md/content,HIGH,2,FILE_MAGIC_MISMATCH; LOW_ANALYZABILITY,"{""high"": 1, ""medium"": 1}"
generating-settings,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/jugrajsingh-skillgarden-plugins-pysmith-skills-generating-settings-skill-md/content,HIGH,2,MANIFEST_MISSING_LICENSE; SECRET_CONNECTION_STRING,"{""high"": 1, ""info"": 1}"
molt-registry,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/lvcidpsyche-polymarket-arbitrage-bot-skills-moltbook-registry-skill-md/content,HIGH,2,LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1}"
additional-htmx-and-flask-instructions,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/oimiragieo-agent-studio-claude-skills-archive-dead-additional-htmx-and-flask-instructions-skill-md/content,HIGH,2,LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1}"
skill-defender,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-snail3d-clawd-skills-extracted-skill-md/content,HIGH,2,MANIFEST_MISSING_LICENSE; PROMPT_INJECTION_CONCEALMENT,"{""high"": 1, ""info"": 1}"
payram-no-kyc-crypto-payments,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/payram-payram-helper-mcp-server-skills-payram-no-kyc-crypto-payments-skill-md/content,HIGH,2,MANIFEST_MISSING_LICENSE; PIPELINE_TAINT_FLOW,"{""high"": 1, ""info"": 1}"
supabase-expert,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/raintree-technology-claude-starter-claude-skills-supabase-skill-md/content,HIGH,2,MANIFEST_MISSING_LICENSE; SECRET_CONNECTION_STRING,"{""high"": 1, ""info"": 1}"
clanker,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/shreed27-dain-cloddsbot-main-src-skills-bundled-clanker-skill-md/content,HIGH,2,LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1}"
moai-worktree,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/tjdwls101010-seongjin-extension-youtube-summarize-claude-skills-moai-worktree-skill-md/content,HIGH,2,FIND_EXEC_PATTERN; MANIFEST_MISSING_LICENSE,"{""high"": 1, ""info"": 1}"
css-styling-expert,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/mahamaneharouna9-cpu-apex-invoice-billing-automation-opencode-skill-css-expert-skill-md/content,HIGH,1,YARA_system_manipulation_generic,"{""high"": 1}"
